manhattan 0: tempo: 53.28479859998333, nodi: 7591, explored_paths: 424, cost: 11
subgoal 0: tempo: 10.197240200010128, nodi: 3261, explored_paths: 186, cost: 13
relaxed 0: tempo: 277.0091404999839, nodi: 19751, explored_paths: 1125, cost: 10
manhattan 1: tempo: 0.05110219999914989, nodi: 196, explored_paths: 9, cost: 6
subgoal 1: tempo: 0.026255000004312024, nodi: 136, explored_paths: 6, cost: 6
relaxed 1: tempo: 0.11314220001804642, nodi: 261, explored_paths: 12, cost: 6
manhattan 2: tempo: 0.5262704000051599, nodi: 691, explored_paths: 36, cost: 8
subgoal 2: tempo: 2.8909068999928422, nodi: 1716, explored_paths: 86, cost: 16
relaxed 2: tempo: 5.16654980002204, nodi: 2146, explored_paths: 105, cost: 8
manhattan 3: tempo: 0.5463700000254903, nodi: 656, explored_paths: 30, cost: 8
subgoal 3: tempo: 5.086701299995184, nodi: 2301, explored_paths: 122, cost: 12
relaxed 3: tempo: 153.2795946999977, nodi: 11656, explored_paths: 568, cost: 8
manhattan 4: tempo: 1.8603232000023127, nodi: 1286, explored_paths: 62, cost: 7
subgoal 4: tempo: 12.06450120001682, nodi: 3441, explored_paths: 176, cost: 13
relaxed 4: tempo: 2.2051321000035387, nodi: 1361, explored_paths: 65, cost: 8
manhattan 5: tempo: 0.018640499998582527, nodi: 111, explored_paths: 5, cost: 5
subgoal 5: tempo: 0.018288299994310364, nodi: 111, explored_paths: 5, cost: 5
relaxed 5: tempo: 0.026806000008946285, nodi: 131, explored_paths: 6, cost: 5
manhattan 6: tempo: 0.31964840000728145, nodi: 506, explored_paths: 22, cost: 9
subgoal 6: tempo: 37.37748270001612, nodi: 6221, explored_paths: 335, cost: 10
relaxed 6: tempo: 53.158385899994755, nodi: 7186, explored_paths: 364, cost: 8
manhattan 7: tempo: 7.656606200005626, nodi: 2566, explored_paths: 127, cost: 8
subgoal 7: tempo: 601.110419900011, nodi: 31821, explored_paths: 1898, cost: 0
relaxed 7: tempo: 86.61667700001271, nodi: 9611, explored_paths: 511, cost: 7
manhattan 8: tempo: 0.32537189999129623, nodi: 551, explored_paths: 30, cost: 7
subgoal 8: tempo: 0.941562599997269, nodi: 966, explored_paths: 57, cost: 10
relaxed 8: tempo: 3.1698918000038248, nodi: 1756, explored_paths: 95, cost: 7
manhattan 9: tempo: 0.21708380000200123, nodi: 411, explored_paths: 18, cost: 5
